date,1. open,2. high,3. low,4. close,5. volume
2020-04-28 15:34:00,170.92,170.93,170.72,170.77,45630.0
2020-04-28 15:35:00,170.78,170.795,170.655,170.66,54607.0
2020-04-28 15:36:00,170.65,170.765,170.52,170.53,76601.0
2020-04-28 15:37:00,170.54,170.67,170.52,170.66,44336.0
2020-04-28 15:38:00,170.665,170.71,170.57,170.65,49872.0
2020-04-28 15:39:00,170.66,170.76,170.64,170.71,48229.0
2020-04-28 15:40:00,170.705,170.78,170.59,170.77,57644.0
2020-04-28 15:41:00,170.7745,170.81,170.66,170.7099,53199.0
2020-04-28 15:42:00,170.715,170.81,170.715,170.735,60079.0
2020-04-28 15:43:00,170.73,170.74,170.63,170.725,50012.0
2020-04-28 15:44:00,170.7202,170.74,170.52,170.58,58976.0
2020-04-28 15:45:00,170.57,170.65,170.5,170.5403,65638.0
2020-04-28 15:46:00,170.53,170.58,170.47,170.54,140951.0
2020-04-28 15:47:00,170.55,170.56,170.45,170.45,62971.0
2020-04-28 15:48:00,170.4599,170.4799,170.37,170.42,71155.0
2020-04-28 15:49:00,170.4299,170.48,170.3,170.3383,59391.0
2020-04-28 15:50:00,170.34,170.3532,170.19,170.2,121154.0
2020-04-28 15:51:00,170.19,170.26,170.01,170.0685,205825.0
2020-04-28 15:52:00,170.08,170.085,169.91,169.95,429182.0
2020-04-28 15:53:00,169.94,170.095,169.94,169.98,166226.0
2020-04-28 15:54:00,169.98,170.0095,169.85,169.86,169758.0
2020-04-28 15:55:00,169.86,169.8943,169.63,169.77,277145.0
2020-04-28 15:56:00,169.7782,169.96,169.7739,169.89,238111.0
2020-04-28 15:57:00,169.9,169.94,169.83,169.85,80331.0
2020-04-28 15:58:00,169.875,169.9,169.66,169.7547,315230.0
2020-04-28 15:59:00,169.755,169.89,169.69,169.84,312846.0
2020-04-28 16:00:00,169.85,170.01,169.49,169.8,577303.0
